"geo","TIME_PERIOD","Disability","Social exclusion, n.e.c.","Family/children","Housing","Housing and social exclusion, n.e.c.","Old age","Old age and survivors","Sickness/health care","Sickness/healthcare and disability","Survivors","Total","Unemployment","Poverty rate"
"Malta",2015,374.2,122.8,660.17,92.36,215.16,4606.28,5506.41,2672.29,3046.49,900.14,9734.91,306.66,22.2
"Malta",2016,369.7,113.45,584.68,69.48,182.93,4788.89,5704.72,2797.38,3167.09,915.85,9888.09,248.67,20.2
"Malta",2017,369.74,111.09,577.72,55.4,166.5,4964.61,5909.91,2871.93,3241.67,945.32,10087.58,191.79,19.4
"Malta",2018,403.6,111.63,572.85,66.56,178.2,4896.31,5836.08,2909.7,3313.3,939.77,10059.15,158.73,19.2
"Malta",2019,396.16,121.61,573.03,61.28,182.89,4868.1,5764.61,3041.37,3437.54,896.51,10090.43,132.38,20.7
"Malta",2020,417.36,152.49,577.9,70,222.49,4992.19,5894.04,3057.91,3475.27,901.85,12530.8,2361.15,19.9
"Malta",2021,424.62,170.3,641.32,73.38,243.68,5190.47,6102.01,3391.38,3816,911.54,12778.8,1975.79,20.3
"Malta",2022,440.3,238.2,643.57,85.58,323.78,5086.32,5990.53,3126.71,3567.01,904.19,11126.4,601.51,20.1
"Malta",2023,427.28,249.78,657.01,92.26,342.05,4956.76,5845.67,3049.08,3476.36,888.92,10415.72,94.65,19.8
"Montenegro",2016,277.38,69.34,353.11,0,69.34,1317.77,1719.65,616.14,893.53,401.89,3112.81,77.16,43.1
"Montenegro",2017,284.06,68.82,255.46,0,68.82,1345.97,1751.97,657.42,941.48,406,3123.06,105.35,42.2
"Montenegro",2018,284.39,81.58,142.08,0,81.58,1370.58,1777.74,712.94,997.32,407.14,3106.68,107.97,41.2
"Montenegro",2019,292.32,73.76,137.47,0,73.76,1399.28,1813.47,792.69,1085.01,414.19,3240.47,130.77,36.5
"Montenegro",2020,287.97,81.98,136.21,0,81.98,1401.06,1808.95,957.46,1245.43,407.89,3677.53,404.96,37.8
"Montenegro",2021,280.37,72.46,157.19,0,72.46,1403.76,1817.68,1008.84,1289.21,413.92,3589.56,253.02,38.9
"Montenegro",2022,278.69,54.69,318.4,0,54.69,1449.56,1870.51,1095.59,1374.27,420.95,3770.63,152.76,34.1
"Montenegro",2023,338.21,64.14,486.96,0,64.14,1505.58,1960.45,1036.19,1374.39,454.9,4010.05,124.1,NA
"Netherlands",2014,2426.96,1965.29,1031.19,336.5,2301.79,11852.1,13023.17,8806.04,11233,1171.05,29265.68,1676.54,NA
"Netherlands",2015,2853.2,1773.43,1202.42,366.48,2139.91,12087.08,13276.98,8316.51,11169.7,1189.91,29353.61,1564.58,16.4
"Netherlands",2016,2863.55,1863.33,1262.1,390.36,2253.69,12218.04,13381.4,8429.93,11293.48,1163.37,29622.03,1431.38,16.3
"Netherlands",2017,2866.12,1858.83,1270.04,391.5,2250.34,12259.58,13423.17,8587.32,11453.45,1163.58,29684.08,1287.06,16.6
"Netherlands",2018,2881.56,1862.16,1278.02,388.22,2250.38,12296.57,13431.65,8799.16,11680.71,1135.09,29729.6,1088.83,16.5
"Netherlands",2019,2916.63,1837.35,1381.14,380.8,2218.16,12508.61,13645.89,9012.48,11929.11,1137.27,30344.72,1170.42,16.5
"Netherlands",2020,2968.69,1845.26,1440.73,397.48,2242.74,12878.45,14016.5,9462.63,12431.32,1138.04,31658.94,1527.66,16
"Netherlands",2021,2838.36,1830.29,1433.47,398.3,2228.61,12832,13915.47,9616.88,12455.22,1083.45,31210.7,1177.91,16.6
"Netherlands",2022,2703.83,1707.41,1403.82,363.82,2071.22,12269.84,13293.6,9454.28,12158.1,1023.75,29559.32,632.56,16.5
"Netherlands",2023,2865.21,1980.72,1496.13,353.3,2334.03,12595.55,13639.34,9295.58,12160.79,1043.79,30267.15,636.85,15.8
"North Macedonia",2015,190.36,28.7,115.28,0.02,28.72,719.34,937.91,371.58,561.95,218.56,1669.93,26.07,41.2
"North Macedonia",2016,194.28,26.62,123.21,0.02,26.65,773.23,1002.82,402.12,596.4,229.58,1769.14,20.04,39.2
"North Macedonia",2017,197.98,27.18,130,0.02,27.19,831.46,1069.93,419.72,617.71,238.47,1861.12,16.32,36.9
"Norway",2014,8249.95,1075.35,5357.73,175.2,1250.55,17366.34,17905.92,11226.74,19476.68,539.59,45083.76,1092.87,NA
"Norway",2015,8722.5,1135.01,5287.17,169.4,1304.41,17765.53,18290.79,11412.8,20135.31,525.26,46230.84,1213.14,14.7
"Norway",2016,8660.15,1286.83,5199.05,170.62,1457.44,18127.71,18641.22,11265.97,19926.12,513.51,46515.62,1291.77,14.4
"Norway",2017,8637.43,1249.52,5148.68,156,1405.53,18455.4,18960.47,11437.54,20074.98,505.07,46787.44,1197.78,15.4
"Norway",2018,8557.06,1191.82,5058.95,155.86,1347.68,18782.12,19267.85,11476.15,20033.2,485.72,46675.18,967.53,15.8
"Norway",2019,8526.95,1126.67,5089.2,166.5,1293.17,19158.66,19640.44,11774.44,20301.4,481.79,47175.47,851.28,15.6
"Norway",2020,8538.23,1026.29,5101.79,167.86,1194.14,19201.95,19676.12,12111.91,20650.12,474.16,49135.65,2513.47,16.3
"Norway",2021,8726.63,977.12,5053.88,161.72,1138.84,19721.05,20201.16,12763,21489.62,480.11,49674.95,1791.44,16.7
"Norway",2022,8723.26,1112.04,4959.77,192.98,1305.02,19834.55,20301.67,12674.39,21397.65,467.12,48901.89,937.77,16.3
"Norway",2023,8833.59,1344.34,5012.14,189.96,1534.31,20079.63,20543.58,12702.94,21536.54,463.93,49371.63,745.07,15.8
"Poland",2014,477.66,35.79,369.78,12.34,48.13,3003.09,3621.38,1015.65,1493.32,618.28,5611.2,78.61,NA
"Poland",2015,474.86,36.57,433.42,11.26,47.83,3134.4,3771.15,1115.04,1589.91,636.76,5911.6,69.29,22.5
"Poland",2016,519.49,36.51,811.23,10.34,46.87,3260.76,3909.74,1239.42,1758.93,648.99,6588.17,61.42,20.6
"Poland",2017,509.68,35.06,893.47,9.28,44.33,3276.62,3925.99,1225.44,1735.13,649.36,6714.37,115.45,18.7
"Poland",2018,491.11,33.23,886.99,8.12,41.35,3526.39,4179.68,1213.27,1704.37,653.29,6901.94,89.57,18.2
"Poland",2019,440.31,102.09,1143.64,7.24,109.35,3874.92,4520.98,1508.73,1949.05,646.06,7807.35,84.33,17.9
"Poland",2020,454.21,104.5,1430.9,6.78,111.28,4116.7,4765.42,1671.85,2126.05,648.71,8731.62,297.97,17
"Poland",2021,477.64,109.7,1373.76,7.1,116.8,4382.98,5054.24,1862.58,2340.22,671.26,9066.49,181.46,16.8
"Poland",2022,427.92,103.62,1352.26,7.28,110.91,4228.35,4875.97,1767.82,2195.76,647.64,8612.2,77.31,15.9
"Poland",2023,431.9,105.19,1273.12,7.98,113.17,4758.04,5405.32,2002.73,2434.63,647.28,9302.86,76.61,16.3
"Portugal",2014,923.28,103.21,514.42,0.98,104.19,6326.93,7281.99,2083.06,3006.34,955.07,11642.67,735.72,NA
"Portugal",2015,922.89,99.95,530.07,0.98,100.93,6442.32,7414.68,2136.49,3059.36,972.36,11691.94,586.91,26.4
"Portugal",2016,904.46,113.41,556.04,0.94,114.35,6361.9,7337.92,2210.67,3115.15,976.04,11614.92,491.46,24.9
"Portugal",2017,903.67,112.65,566.16,0.9,113.55,6525.48,7513.26,2278.71,3182.37,987.78,11795.67,420.31,23.4
"Portugal",2018,900.43,116,598.44,0.92,116.92,6505.72,7516.22,2363.61,3264.04,1010.49,11887.23,391.58,21.6
"Portugal",2019,953.05,111.57,634.15,0.9,112.47,6615.11,7660.86,2491.59,3444.63,1045.74,12235.15,383.03,21.1
"Portugal",2020,941.93,117.7,676.24,0.88,118.58,6656.18,7723.12,2644.49,3586.41,1066.95,12936.46,832.09,20
"Portugal",2021,963.52,117.08,666.62,0.86,117.93,6662.96,7748.26,2822.48,3786,1085.3,13157.77,838.95,22.4
"Portugal",2022,924.74,192.84,672.07,0.92,193.77,6665.57,7737.91,2840.28,3765.01,1072.33,12774.3,405.55,20.1
"Portugal",2023,911.06,178.99,778.36,42.72,221.7,6620.73,7677.15,2762.38,3673.44,1056.43,12722.23,371.59,20.1
"Romania",2014,238.53,37.16,246.61,2.68,39.84,1665.49,1820.13,610.74,849.26,154.63,2987.21,31.36,NA
"Romania",2015,246.58,36.8,279.19,2.66,39.46,1742.01,1903.42,630.94,877.55,161.41,3124.55,24.96,44.5
"Romania",2016,240.57,38.95,325.01,2.42,41.37,1838.28,1995.23,681.69,922.26,156.94,3304.21,20.35,46
"Romania",2017,240.63,35.93,385.97,2.38,38.32,2036.04,2213.46,756.2,996.84,177.42,3652.55,17.98,42.5
"Romania",2018,259.06,29.23,410.98,2.38,31.6,2148.64,2338.92,863.29,1122.34,190.29,3919.35,15.5,38.7
"Romania",2019,264.76,23.55,485.17,2.22,25.77,2244.86,2447.86,957.45,1222.21,203.01,4194.76,13.75,36.1
"Romania",2020,260.51,22.12,548.83,2.24,24.35,2552.45,2776.9,1047.52,1308.04,224.46,4706.03,47.92,35.6
"Romania",2021,252.62,35.19,603.53,2.06,37.25,2733.7,2967.28,1004.45,1257.09,233.58,4904.93,39.8,34.4
"Romania",2022,260.26,77.19,625.61,1.82,79,2758.61,2982.28,1074.1,1334.35,223.66,5043.87,22.65,34.4
"Romania",2023,328.79,148.55,648.38,1.64,150.21,2837.42,3058.23,1079.27,1408.06,220.79,5276.25,11.39,32
"Serbia",2014,237.43,66.23,180.83,1.66,67.87,1456.21,1758.49,575.57,813,302.29,2907.92,87.71,NA
"Serbia",2015,197.05,76.9,186.38,7.24,84.14,1409.31,1703.19,540.65,737.71,293.88,2803.06,91.66,41
"Serbia",2016,190.65,82.49,186.45,16.26,98.76,1436.17,1731.23,541.75,732.39,295.06,2850.51,101.67,30
"Serbia",2017,185.08,87.74,193.34,1.64,89.38,1406.18,1699.52,542.24,727.33,293.34,2805.87,96.29,39.3
"Serbia",2018,175.82,87.32,202.66,1.64,88.96,1467.41,1765.38,608.07,783.9,297.98,2936.04,95.15,33.9
"Serbia",2019,182.62,86.31,233.7,1.7,88,1553.83,1863.82,633.02,815.65,309.99,3092.42,91.25,31.1
"Serbia",2020,187.97,92.34,216.24,1.64,93.98,1632.96,1957.92,768.04,956,324.96,3309.24,85.08,31
"Serbia",2021,184.42,94.85,227.55,1.64,96.47,1621.47,1949.54,830.97,1015.4,328.07,3387.38,98.42,28.9
"Serbia",2022,182.46,91.73,255.97,1.06,92.79,1591.21,1916.76,860.77,1043.21,325.54,3390.26,81.53,29
"Serbia",2023,184.63,91.22,263.34,0.94,92.16,1739.81,2088.87,882.94,1067.56,349.07,3589.92,77.98,27.2
"Slovakia",2014,636.22,147.63,679.87,11.16,158.77,3006.44,3394.07,1618.86,2255.06,387.62,6706.68,218.89,NA
"Slovakia",2015,640.7,127.55,682.6,12.18,139.73,3093.85,3489.24,1680.57,2321.28,395.39,6857.41,224.57,17.3
"Slovakia",2016,659.19,112.03,695.34,11.94,123.96,3153.52,3541.56,1816.58,2475.77,388.04,7076.28,239.66,17.1
"Slovakia",2017,669.7,108.55,715.73,15.9,124.46,3260.6,3657.98,1814.63,2484.35,397.38,7217.14,234.65,15.8
"Slovakia",2018,662.2,90.02,709.37,16.62,106.64,3324.18,3737.76,1919.53,2581.72,413.57,7364.89,229.39,15.2
"Slovakia",2019,665.9,99.57,762.08,14.74,114.3,3399.32,3800.96,1959.83,2625.72,401.63,7547.17,244.09,14.8
"Slovakia",2020,703.11,71.3,877.07,14.94,86.23,3623.1,4046.07,1986.01,2689.13,422.98,8098.14,399.64,13.8
"Slovakia",2021,645.31,73.03,940.9,14.98,88.02,3704.02,4114.75,2179.19,2824.49,410.72,8340.61,372.45,15.6
"Slovakia",2022,605.77,87.8,925.39,14.5,102.28,3481.1,3869.72,1971.75,2577.5,388.63,7793.68,318.76,16.5
"Slovakia",2023,672.79,122.82,1348.2,11.52,134.34,3752.32,4168.3,2120.76,2793.56,416.01,8756.03,311.61,17.6
"Slovenia",2014,726.9,359.29,909.11,8.72,368.02,5406.41,6233.57,2803.6,3530.5,827.15,11414.78,373.57,NA
"Slovenia",2015,701.8,384.25,909.68,9.34,393.58,5501.38,6343.35,3032.52,3734.32,841.99,11727.53,346.58,17.7
"Slovenia",2016,665.03,388.6,914.66,8.44,397.05,5595.82,6429.13,3174.67,3839.71,833.31,11916.23,335.71,16.9
"Slovenia",2017,598.23,385.83,995.49,9.72,395.55,5635.92,6439.16,3306.62,3904.83,803.23,12056.04,321.01,16.6
"Slovenia",2018,584.02,424.96,1016.61,10.12,435.09,5740.04,6536.53,3435.28,4019.28,796.49,12318.42,310.91,15.4
"Slovenia",2019,630.22,485.76,1052.32,11.12,496.88,5858.61,6650.85,3583.1,4213.31,792.25,12726.4,313.04,13.7
"Slovenia",2020,679.68,538.18,1076.09,11.98,550.16,6260.63,7065.18,3992.09,4671.77,804.54,14372.47,1009.27,14.3
"Slovenia",2021,710.96,518.45,1113.46,7.7,526.14,6368.59,7158.29,4097.66,4808.62,789.68,14713.84,1107.34,13.2
"Slovenia",2022,725.15,464.73,1068.77,15.44,480.17,6394.78,7170.26,4327.74,5052.89,775.5,14182.53,410.43,13.3
"Slovenia",2023,719.67,523.39,1060.51,15.34,538.73,6320.68,7070.92,4252.88,4972.56,750.24,13992.96,350.22,13.7
"Spain",2014,1175.73,145.15,713.06,47.72,192.87,6440.15,8093.3,3074.52,4250.26,1653.14,15021.77,1772.29,NA
"Spain",2015,1152.25,151.67,721.04,47.22,198.87,6617.18,8276.84,3274.23,4426.5,1659.67,15106.77,1483.52,28.7
"Spain",2016,1156.79,142.21,728.19,49.98,192.17,6826.63,8500.82,3172.32,4329.11,1674.2,15108.11,1357.81,28.8
"Spain",2017,1149.22,149.28,756.25,51.86,201.15,6842.64,8509.06,3350.9,4500.12,1666.43,15202.98,1236.43,27.5
"Spain",2018,1164.99,153.92,774.37,53.98,207.89,7133.93,8844.63,3403.18,4568.18,1710.69,15607.83,1212.77,27.3
"Spain",2019,1181.6,157.79,817.31,56.74,214.53,7338.09,9107.87,3639.2,4820.78,1769.78,16208.33,1247.86,26.2
"Spain",2020,1163.04,197.43,867.36,59.16,256.59,7518.57,9304.12,4084.35,5247.39,1785.54,18088.55,2413.11,27
"Spain",2021,1171.96,292.97,898.4,61.52,354.49,7701.38,9496.54,4211.12,5383.09,1795.15,17943.95,1811.43,27.8
"Spain",2022,1139.87,320.67,892.5,61.18,381.85,7600.53,9335.97,4096.53,5236.38,1735.44,17056.97,1210.24,26
"Spain",2023,1160.54,357.61,896.78,61.86,419.47,7996.75,9775.22,4076.29,5236.83,1778.45,17509.81,1181.52,26.5
"Sweden",2014,3404.57,800.69,3318.99,409.7,1210.4,15665.52,16158.78,7238.99,10643.56,493.26,32678.56,1346.85,NA
"Sweden",2015,3375.33,1003.69,3353.37,406.16,1409.85,15984.23,16445.11,7517.67,10893.02,460.89,33411.37,1310.02,18.2
"Sweden",2016,3231.14,1413.05,3410.56,388.68,1801.73,16284.92,16720.73,7672.99,10904.13,435.84,34137.25,1300.07,17.7
"Sweden",2017,3190.93,1126.75,3467.33,374.16,1500.9,16445.24,16856.12,7561.72,10752.65,410.88,33676.53,1099.53,17.2
"Sweden",2018,3120.6,907.23,3575.14,376.66,1283.9,16280.48,16656.8,7658.82,10779.42,376.32,33288.97,993.69,17.7
"Sweden",2019,2999.15,785.86,3570.27,361.96,1147.8,16298.98,16652.85,7788.81,10787.96,353.88,33104.22,945.36,18.4
"Sweden",2020,2882.8,696.04,3468.91,385.2,1081.24,16596.88,16930.69,8465.78,11348.58,333.81,34129.26,1299.81,17.7
"Sweden",2021,2822.87,637.17,3439.93,371.66,1008.82,16794.77,17103.62,8553.74,11376.61,308.85,34189.35,1260.38,17.2
"Sweden",2022,2823.97,589.68,3305,363.4,953.08,16971.83,17250.95,8384.66,11208.63,279.12,33675.21,957.53,18.6
"Sweden",2023,2837.31,542.31,3183.32,372.92,915.23,16667.59,16920.01,8294.27,11131.57,252.42,33047.04,896.9,18.4
"Switzerland",2014,4528.38,998.26,3244.46,466.66,1464.93,23063.05,25818.79,12078.52,16606.89,2755.75,49008.88,1873.79,NA
"Switzerland",2015,4528.16,1055.61,3311.27,488.86,1544.47,23673.05,26461.34,12730.73,17258.9,2788.29,50559.42,1983.46,18.2
"Switzerland",2016,4510.81,1131.03,3293.85,509.32,1640.34,24039.28,26835.76,13098.63,17609.45,2796.48,51504.92,2125.51,17.9
"Switzerland",2017,4468.66,1128.45,3298.22,508.78,1637.22,24311.1,27101.29,13305.12,17773.78,2790.19,51864.89,2054.39,18.3
"Switzerland",2018,4419.37,1107.24,3286.6,508.34,1615.57,24536.81,27319.13,13256.85,17676.22,2782.32,51719.41,1821.88,17.8
"Switzerland",2019,4462.74,1112.04,3376.91,512.12,1624.16,25256.28,28072.6,13790,18252.76,2816.33,53087.23,1760.79,19.3
"Switzerland",2020,4477.85,1116.89,3464.21,511.2,1628.09,25947.78,28822.66,14521.33,18999.17,2874.87,59243.79,6329.64,18.5
"Switzerland",2021,4497.07,1111.2,3498.77,508.78,1619.99,26556.84,29491.38,14937.08,19434.15,2934.54,58287.4,4243.12,17.6
"Switzerland",2022,4394.71,1211.04,3462.44,533.24,1744.28,26690.15,29685.39,15474.14,19868.86,2995.26,56680.86,1919.89,18.7
"Switzerland",2023,4403.33,1319.12,3510.33,559.56,1878.68,27205.47,30214.87,14817.92,19221.26,3009.41,56302.73,1477.59,19.5
"Türkiye",2014,105.95,34.18,87.51,NA,34.18,1616.79,2015.24,680.9,786.88,398.45,2953.18,29.4,NA
"Türkiye",2015,106.67,37.31,94.56,NA,37.31,1690.16,2104.12,687.04,793.69,413.96,3067.26,37.54,26.7
"Türkiye",2016,117.07,45.59,118.95,NA,45.59,1899.08,2363.16,722.13,839.2,464.09,3429.71,62.79,26.6
"Türkiye",2017,122.31,50.64,160.64,NA,50.64,1928.67,2399.53,746.57,868.89,470.85,3539.72,60.04,32.3
"Türkiye",2018,115.87,44.54,153.47,NA,44.54,1982.35,2457.44,758.35,874.23,475.09,3588.2,58.53,32.4
"Türkiye",2019,121.07,26.6,167.27,NA,26.6,2038.41,2535.03,779.23,900.33,496.62,3714.11,84.9,33.1
"Türkiye",2020,121.66,31.88,212.51,NA,31.88,2052.56,2556.15,810.85,932.5,503.58,4018.4,285.39,34.1
"Türkiye",2021,115.07,28.64,182.15,NA,28.64,1974.32,2475.39,933.62,1048.71,501.06,3882.97,148.09,34
"Türkiye",2022,104.89,30.46,206.61,NA,30.46,1723.33,2177.48,814.07,918.98,454.17,3375.69,42.14,32.8
"Türkiye",2023,116.64,178.12,292.96,NA,178.12,2187.28,2679.27,1014.09,1130.72,491.99,4324.16,43.09,30.7
"United Kingdom",2014,1772.45,801.83,3087.36,1082.18,1884.01,13493.64,13606.23,7086.39,8858.83,112.59,27914.49,478.04,NA
"United Kingdom",2015,1896.44,749.45,3069.11,1078.2,1827.66,13785.8,13887.37,7504.48,9400.91,101.58,28611.61,426.54,23.1
"United Kingdom",2016,1977.08,740.72,2921.77,1034.4,1775.1,13211.59,13310.62,7211.96,9189.04,99.04,27609.14,412.59,21.9
"United Kingdom",2017,2061.49,710.58,2843.68,980.92,1691.49,13995.79,14088.4,7423.87,9485.36,92.61,28491.39,382.44,21.8
"United Kingdom",2018,1916.31,682.36,2731.63,938.36,1620.72,14033.48,14125.21,7242.13,9158.44,91.73,27992.28,356.26,22.8
