"geo","TIME_PERIOD","Disability","Social exclusion, n.e.c.","Family/children","Housing","Housing and social exclusion, n.e.c.","Old age","Old age and survivors","Sickness/health care","Sickness/healthcare and disability","Survivors","Total","Unemployment","Poverty rate"
"Bulgaria",2021,385,62.06,364.29,0.08,62.14,2201.4,2446.17,1021.77,1406.79,244.77,4414.11,134.74,31.7
"Bulgaria",2022,432.87,50.83,386.21,0.06,50.91,2331.23,2616.39,999.29,1432.18,285.15,4633.83,148.17,32.2
"Bulgaria",2023,515.52,51.18,423.66,0.06,51.24,2454.79,2779.24,1019.63,1535.18,324.42,4888.7,99.39,30
"Croatia",2014,776.66,74.81,522.77,5.14,79.95,2223.36,2862.76,1496.47,2273.15,639.39,5898.95,160.31,NA
"Croatia",2015,788.11,76.25,522.07,5,81.25,2282.29,2922.35,1619.94,2408.04,640.06,6103.02,169.28,24.4
"Croatia",2016,754.88,99.94,555.72,5.38,105.32,2433.29,3083.85,1690.66,2445.52,650.56,6453.54,263.12,23.5
"Croatia",2017,764.17,99.32,580.72,5,104.32,2530.51,3186.73,1795.13,2559.32,656.21,6683.86,252.78,23.7
"Croatia",2018,782.23,97.35,633.88,4.16,101.5,2680.8,3353.77,1896.66,2678.91,672.98,6996.45,228.43,22.1
"Croatia",2019,789.61,97.7,671.96,4.94,102.63,2849.31,3535.54,2013.54,2803.16,686.23,7338.57,225.28,20.8
"Croatia",2020,784.52,97.94,705.52,1.22,99.16,3004.85,3700.5,2054.69,2839.2,695.66,7698.97,354.58,20.5
"Croatia",2021,772.75,139.85,731.74,1.2,141.05,3101.77,3802.88,2374.81,3147.56,701.11,8073.89,250.66,20.9
"Croatia",2022,747.59,141.06,728.45,1.04,142.09,3083.04,3770.76,2438.36,3185.94,687.7,7992.74,165.5,19.9
"Croatia",2023,805.06,137.72,737.59,0.92,138.65,3255.55,4037.01,2461.14,3266.2,781.47,8339.09,159.63,20.7
"Cyprus",2014,395.29,682.52,814.4,108.02,790.54,5724.67,6559.29,1422.09,1817.39,834.63,11019.92,1038.29,NA
"Cyprus",2015,405.94,786.29,798.06,149.66,935.95,5990.99,6868.56,1514.94,1920.88,877.57,11361.02,837.6,22.8
"Cyprus",2016,500.25,894.41,820.37,175.68,1070.09,6028.8,6945.9,1652.95,2153.2,917.1,11819.64,830.07,22.6
"Cyprus",2017,528.14,885.21,799.24,161.6,1046.81,6077.42,7002.82,1639.27,2167.44,925.41,11717.82,701.52,21.4
"Cyprus",2018,483.01,801.8,814.62,155.62,957.41,5973.52,6954.9,1758.13,2241.15,981.39,11667.34,699.24,19.1
"Cyprus",2019,505.32,642.57,750.37,162.4,804.98,6505.13,7497.44,2389.31,2894.64,992.31,12667.34,719.89,18.9
"Cyprus",2020,491.6,749.01,873.37,174.14,923.15,6979.85,8010.36,3025.64,3517.24,1030.5,15867.9,2543.78,18.2
"Cyprus",2021,522.99,788.06,771.06,203.24,991.31,6872.94,7930.75,3350.18,3873.19,1057.81,15582.84,2016.52,17.3
"Cyprus",2022,491.45,619.29,728.29,220.76,840.04,6739.21,7798.12,4262.15,4753.59,1058.91,14901.06,781.01,17.5
"Cyprus",2023,480.89,590.91,736.95,200,790.91,6965.21,8011.8,4071.52,4552.41,1046.58,14772.82,680.77,17.4
"Czechia",2014,551.94,136.49,730.89,85.78,222.27,3754.68,4055.36,1900.87,2452.82,300.68,7720.31,258.93,NA
"Czechia",2015,562.66,125.83,750.81,86.26,212.1,3826.6,4128.97,1956.79,2519.45,302.36,7845.66,234.3,13
"Czechia",2016,559.17,116.38,764.84,84.12,200.51,3881.41,4176.59,2043.61,2602.81,295.2,7975.23,230.47,12.4
"Czechia",2017,554.53,95.66,777.89,73.88,169.55,3926.6,4219.44,2080.92,2635.44,292.84,8029.85,227.56,12.1
"Czechia",2018,553.96,83.06,834.21,61.9,144.95,3988.81,4278.85,2191.72,2745.67,290.03,8230.03,226.34,11.8
"Czechia",2019,575.65,77.21,837.17,53.84,131.05,4253.02,4541.61,2337.25,2912.9,288.57,8629.51,206.79,12.1
"Czechia",2020,609.71,77.13,916.76,51.32,128.45,4532.37,4832.7,2699.23,3308.95,300.33,9628.39,441.54,11.5
"Czechia",2021,602.94,82.6,905.5,48.6,131.21,4547.12,4863.96,2828.09,3431.02,316.87,9902.37,570.68,10.7
"Czechia",2022,587.35,150.59,850.22,53.08,203.66,4474.09,4777.64,2545.57,3132.9,303.54,9169.56,205.14,11.8
"Czechia",2023,599.13,145.94,740.98,90.92,236.86,4907.03,5215.63,2477.73,3076.85,308.59,9454.5,184.19,12
"Denmark",2014,6531.91,1941.3,4076.12,656.12,2597.42,17262.12,17744.76,6807.06,13338.96,482.63,39980.59,2223.33,NA
"Denmark",2015,6520.82,2176.51,4066.66,672.08,2848.59,17171.6,17550.11,6888.47,13409.31,378.51,39969.41,2094.72,18.6
"Denmark",2016,6354.05,2293.97,4092.35,668.24,2962.21,16580.29,16897.74,6915.4,13269.45,317.44,39186.89,1965.15,17.5
"Denmark",2017,6520.62,2181.31,4088.2,671.16,2852.47,17053.78,17405.21,6967.47,13488.1,351.41,39698.43,1864.44,17.8
"Denmark",2018,6380.83,2057.71,4111.22,670,2727.72,17476.91,17835.9,7035.19,13416.02,358.99,39847.23,1756.39,17.5
"Denmark",2019,6664.34,1927.24,4095.35,678.3,2605.55,17880.27,18252.58,7061.29,13725.61,372.33,40408.09,1728.97,17.3
"Denmark",2020,6846.67,2053.33,4144.98,677.4,2730.73,17777.83,18143.03,7541.54,14388.21,365.21,42246.71,2839.74,16.8
"Denmark",2021,7037.37,1773.56,4130.95,665.86,2439.42,17402.98,17734.81,8386.12,15423.49,331.83,41918.02,2189.35,17.3
"Denmark",2022,6948.47,1820.62,3909.12,623.68,2444.3,16668.36,17027.84,7682.3,14630.76,359.47,39278.32,1266.3,17.1
"Denmark",2023,7246.48,1588.1,3908.26,617.76,2205.86,16508.09,16845.46,7109.59,14356.07,337.37,38623.95,1308.31,17.9
"Estonia",2014,761.22,42.31,732.68,9.78,52.09,2967.73,2996.08,1391.29,2152.51,28.35,6105.03,171.67,NA
"Estonia",2015,808.01,38.28,949.71,8.08,46.36,3249.62,3277.46,1494.23,2302.25,27.84,6761.67,185.9,23.6
"Estonia",2016,852.59,46.95,1029.3,23.12,70.07,3280.6,3308.06,1653.54,2506.14,27.45,7118.64,205.08,23.1
"Estonia",2017,875.95,38.88,1039.53,22.72,61.6,3290.36,3316.79,1668.32,2544.27,26.43,7151.13,188.94,23.3
"Estonia",2018,911.31,34.75,1217.44,22.32,57.07,3412.76,3438.88,1773.17,2684.47,26.13,7613.77,215.91,23.6
"Estonia",2019,963.31,32.28,1272.62,20.78,53.06,3575.75,3601.88,1800,2763.31,26.13,7946.03,255.16,23.7
"Estonia",2020,1057.16,31.33,1300.2,22.74,54.08,3946.91,3974.75,1913.63,2970.78,27.84,9083.72,783.9,22.8
"Estonia",2021,1021.23,29.15,1266.46,22.82,51.97,4013.26,4041.43,2084.55,3105.78,28.17,8911.84,446.22,22.2
"Estonia",2022,881.35,55.64,1106.11,23.62,79.26,3651.76,3677.08,1937.42,2818.78,25.32,8009.15,327.82,25.2
"Estonia",2023,852.77,52.26,798.26,26.32,78.57,4940.78,4967.42,1943.01,2795.79,26.64,7376.78,250.62,24.2
"Finland",2014,3360.91,848.21,3021.18,456.96,1305.18,13273.76,14269.55,6110.42,9471.32,995.81,30861.69,2794.44,NA
"Finland",2015,3226.98,840.29,3012.01,529.16,1369.45,13810.36,14791.48,6166.27,9393.25,981.12,31504.87,2938.67,16.9
"Finland",2016,3170.33,1036.92,3003.05,599.58,1636.49,14469.96,15447.88,6061.82,9232.16,977.93,32265.09,2945.49,16.5
"Finland",2017,3047.7,933.97,2935.18,665.18,1599.14,14990.75,15982.05,5939.76,8987.46,991.32,32070.92,2567.07,16
"Finland",2018,3040.67,883.96,2962.69,743.34,1627.3,15257.23,16233.22,5933.63,8974.31,976,32018.03,2220.54,16.6
"Finland",2019,3055.47,897,2997.86,739.86,1636.85,15620.01,16589.63,6083.05,9138.52,969.61,32377.24,2014.4,14.5
"Finland",2020,3061.64,989.17,3047.89,762.98,1752.14,15993.72,16957.38,6192.63,9254.26,963.66,33714.96,2703.28,14.9
"Finland",2021,2984.78,1021.9,3064.99,756.78,1778.68,15947.11,16887.54,6445.25,9430.02,940.43,33650.47,2489.24,14.2
"Finland",2022,2862.11,851.3,3059.99,808.6,1659.9,15610.86,16532.75,6397.92,9260.03,921.89,32405.01,1892.35,16.3
"Finland",2023,2888.93,962.51,3079.24,809.5,1772.01,16229.93,17165.59,6367.74,9256.67,935.67,33168.16,1894.62,15.8
"France",2014,1696.01,931.45,2189.26,546.92,1478.37,12559.61,14286.09,6103.93,7799.95,1726.47,27720.99,1967.35,NA
"France",2015,1735.49,957.5,2176.46,548.98,1506.48,12731.01,14458.24,6212.7,7948.19,1727.22,28071.95,1982.61,18.4
"France",2016,1828.12,994.46,2162.45,547.64,1542.11,12926.54,14659.55,6329.09,8157.21,1733.02,28537.15,2015.84,18.7
"France",2017,1850.2,1034.74,2158.15,537.52,1572.27,13018.47,14741.25,6397.16,8247.37,1722.77,28721.74,2002.69,17.8
"France",2018,1851.78,1057.87,2134.66,498.64,1556.51,13119.42,14823.53,6420.49,8272.26,1704.12,28756.92,1969.95,17.9
"France",2019,1882.1,1237.6,2119.3,483.76,1721.35,13271.82,14965.23,6497.74,8379.84,1693.43,29189.7,2003.97,18.8
"France",2020,1871.36,1361.99,2135.45,467.72,1829.71,13190.36,14830.8,6656.27,8527.61,1640.45,30393.4,3069.83,19
"France",2021,1875.56,1415.34,2041.19,434.96,1850.28,13239.84,14867.86,7281.16,9156.71,1628.01,30414.93,2498.89,19
"France",2022,1876.58,1277.13,2029.53,409.68,1686.79,13279.13,14884.16,7215.08,9091.66,1605.02,29546.76,1854.61,20.7
"France",2023,1869.93,1199.45,2009.7,389.52,1588.97,13117.42,14686,6959.18,8829.11,1568.58,28914.43,1800.66,20.4
"Germany",2014,1944.73,142.52,3017.93,416.48,559,10599.35,12612.72,7406.63,9351.36,2013.35,26704.53,1163.51,NA
"Germany",2015,1994.14,226.45,3100.08,412.58,639.04,10988.26,12992.86,7632.75,9626.88,2004.61,27480.96,1122.08,20
"Germany",2016,2058.03,341.79,3184.73,417.32,759.1,11286.2,13306.03,7870.93,9928.96,2019.84,28285.08,1106.27,19.8
"Germany",2017,2127.12,235.07,3253.39,428.9,663.98,11569.72,13596.98,7948.71,10075.83,2027.25,28689.99,1099.81,18.8
"Germany",2018,2168.81,206.25,3308.52,418.92,625.16,11768.47,13791.08,8095.09,10263.91,2022.59,29021.13,1032.47,18.5
"Germany",2019,2230.38,194.11,3388.34,391.28,585.39,12138.48,14178.55,8409.7,10640.06,2040.05,29844.61,1052.25,17.3
"Germany",2020,2351.48,160.91,3696.31,420.94,581.84,12591.76,14656.65,8556.77,10908.24,2064.87,31762.65,1919.63,20.4
"Germany",2021,2377.42,158.53,3693.81,422.58,581.11,12634.15,14660.15,8692.17,11069.59,2025.98,31804.55,1799.87,21
"Germany",2022,2333.91,203.57,3554.74,417.28,620.85,12441.39,14395.24,8624.43,10958.36,1953.84,30656.58,1127.41,21.1
"Germany",2023,2312.91,187.69,3621.6,492.64,680.33,12312.05,14221.56,8581.69,10894.58,1909.5,30536.98,1118.91,21.3
"Greece",2014,798.99,156.94,530.67,0.28,157.23,6833.5,8061.25,1555.73,2354.72,1227.75,11547.14,443.28,NA
"Greece",2015,531.55,51.14,497.3,9.36,60.5,7261.83,8608.91,1709.7,2241.25,1347.08,11832.99,425,32.4
"Greece",2016,536.31,94.59,491.17,6.72,101.31,7220.68,8565.7,1829.45,2365.78,1345.01,11979.41,455.45,32.6
"Greece",2017,519.01,175.11,701.08,6.62,181.73,6875.77,8123.77,1766.32,2285.34,1248,11730.6,438.68,32.2
"Greece",2018,498.25,242.16,824.95,NA,242.16,6858.92,8060.11,1780.01,2278.26,1201.2,11837.82,432.35,30.3
"Greece",2019,544.77,204.5,674.06,65.68,270.18,6917.88,8120.17,1876.28,2421.05,1202.3,11953.88,468.4,29
"Greece",2020,528.65,209.04,637.28,66.84,275.88,7262.25,8566.51,1965.89,2494.54,1304.24,12637.64,663.42,27.4
"Greece",2021,533.44,219.43,714.74,73.28,292.71,7191.4,8548.39,2100.08,2633.51,1356.99,12720.93,531.58,28.3
"Greece",2022,507.88,202.03,735.82,73.08,275.11,6952.74,8271.15,2103.97,2611.85,1318.4,12379.33,485.41,26.3
"Greece",2023,515.58,161.92,653.64,67.02,228.93,7174.03,8546.06,2169.37,2684.95,1372.04,12630.6,517.02,26.1
"Hungary",2014,432.65,27.47,694.28,62.2,89.67,2864.95,3239.2,1099.53,1532.18,374.27,5674.1,118.76,NA
"Hungary",2015,437.56,38.61,668.56,67.26,105.87,2854.38,3223.48,1190.72,1628.28,369.1,5748.32,122.15,30.6
"Hungary",2016,414.79,42.17,670.3,83.8,125.97,2890.13,3252.11,1247.93,1662.72,361.98,5821.12,110.04,28.6
"Hungary",2017,396.32,53.01,685.6,106.32,159.32,2891.49,3242.32,1279.41,1675.74,350.83,5873.09,110.12,25.9
"Hungary",2018,381.19,66.23,702.19,130.16,196.39,2944.45,3286.79,1343.28,1724.49,342.32,6019.39,109.54,20.6
"Hungary",2019,367.05,59.89,699.22,106.04,165.94,2939.4,3272.04,1359.65,1726.69,332.64,5991.42,127.53,21.1
"Hungary",2020,348.31,59.76,735.23,121.88,181.64,2934.26,3259.79,1594.03,1942.34,325.52,6332.18,213.16,19.4
"Hungary",2021,353.66,55.97,722.77,114.82,170.79,3129.48,3452.53,1707.24,2060.92,323.03,6576.66,169.65,19.6
"Hungary",2022,350.04,55.45,711.02,109.84,165.27,3230.73,3553.77,1661.37,2011.43,323.05,6554.53,113.04,18.8
"Hungary",2023,345.81,56,690.26,83.54,139.54,3416.94,3747.63,1627.31,1973.14,330.67,6680.85,130.3,19.7
"Iceland",2014,4549.93,720.29,2833.56,602.72,1323.03,7698.26,8444.17,7868.83,12418.74,745.91,25951.15,931.65,NA
"Iceland",2015,4575.87,793.65,2785.16,522.68,1316.33,8064.23,8808.98,8252.94,12828.8,744.75,26478.58,739.29,12.6
"Iceland",2016,4708.48,808.28,2755.39,458.48,1266.76,8708.39,9483.53,8688.42,13396.91,775.13,27517.55,614.95,11.8
"Iceland",2017,5123.17,836.78,2781.61,416.84,1253.62,9967.52,10760.8,9035.14,14158.32,793.29,29644.8,690.45,12.6
"Iceland",2018,5256.13,735.81,2880.18,380.54,1116.35,10307.35,11086.92,9382.19,14638.33,779.56,30495.29,773.5,11.3
"Iceland",2019,5521.01,848.61,2968.12,361.72,1210.32,10711.81,11468.28,9439.04,14960.06,756.47,31828.15,1221.39,11.6
"Iceland",2020,5789.48,1019.6,3232.14,349.82,1369.4,11536.43,12385.25,9410.8,15200.27,848.82,36002.47,3815.4,11.7
"Iceland",2021,5763.64,1069.3,3321.9,351.8,1421.1,11381.24,12176.45,9956.79,15720.43,795.21,36132.74,3492.86,NA
"Iceland",2022,5712.07,973.82,3308.29,319.5,1293.33,11012.09,11732.69,10348,16060.06,720.6,33847.62,1453.27,NA
"Iceland",2023,5974.48,1117.9,3251.39,327.02,1444.91,11672.46,12404.43,10388.66,16363.14,731.97,34473.85,1009.99,NA
"Ireland",2014,1339.74,205.4,2698.91,716.44,921.84,7783.79,8468.32,6480.5,7820.22,684.53,22442.65,2533.35,NA
"Ireland",2015,1348.17,205.01,2663.02,746.24,951.24,7894.76,8562.06,6682.18,8030.36,667.29,22526.81,2320.14,25.4
"Ireland",2016,1372.7,190.64,2633.07,735.78,926.42,7909.49,8588.91,6890.8,8263.5,679.42,22447.52,2035.64,23.8
"Ireland",2017,1428.02,193.15,2609.74,712.64,905.77,8223.97,8922.16,7089.78,8517.79,698.19,22668.44,1713,22.4
"Ireland",2018,1473.02,198.66,2584.28,738.06,936.73,8202.82,8898.84,7368.36,8841.36,696.02,22709.1,1447.9,20.8
"Ireland",2019,1513.46,194,2531.91,697.56,891.55,8530.3,9246.17,7542.94,9056.4,715.86,22971.66,1245.63,20.2
"Ireland",2020,1574.71,183.49,2506.77,790.8,974.29,8589.46,9340.74,8634.42,10209.11,751.3,27120.54,4089.63,19.1
"Ireland",2021,1506.88,160.89,2443.63,817.72,978.61,8694.96,9436.98,8974.19,10481.07,741.99,26632.76,3292.46,19.6
"Ireland",2022,1516.39,172.64,2493.73,992.7,1165.36,8193.54,8916.66,9025.68,10542.06,723.12,24353.7,1235.89,19.6
"Ireland",2023,1462.33,166.17,2464.09,1192.36,1358.53,8215.54,9376.17,8593.32,10055.65,1160.64,24345.14,1090.71,19.2
"Italy",2014,1314.48,391.39,854.29,17.66,409.05,11341.55,13527.38,3708.34,5022.83,2185.83,21197.8,1384.25,NA
"Italy",2015,1324.99,574.57,849.03,22.38,596.95,11605.23,13812.27,3728.14,5053.14,2207.04,21696.04,1384.65,28.4
"Italy",2016,1340.28,605.29,886.8,21.12,626.4,11549.88,13739.67,3755.41,5095.72,2189.79,21723.59,1375,27.8
"Italy",2017,1323.93,642.38,913.77,22.32,664.72,11768.58,13943.67,3779.38,5103.3,2175.08,21840.68,1215.22,25.9
"Italy",2018,1340.83,688.19,905.29,17.46,705.64,11964.96,14135.31,3798.09,5138.91,2170.34,22087.35,1202.2,25.7
"Italy",2019,1361.81,807.03,909.85,19.24,826.26,12259.23,14443.7,3818.53,5180.35,2184.46,22591.62,1231.47,24.6
"Italy",2020,1374.76,1096.24,936.06,22.12,1118.36,12651.61,14826.81,4057,5431.76,2175.18,24556.35,2243.32,24.9
"Italy",2021,1404.45,1321.42,1024.99,22.42,1343.83,12933.62,15097.93,4264.17,5668.61,2164.29,24652.14,1516.78,25.2
"Italy",2022,1365.28,1199.06,1290.63,21.14,1220.2,12707.79,14807.35,4075.54,5440.8,2099.55,23841.15,1082.16,24.4
"Italy",2023,1384.53,744.62,1376.72,21.08,765.71,13053.59,15211.55,3917.46,5301.99,2157.96,23764.78,1108.81,22.8
"Latvia",2014,426.9,37.69,430.71,22.96,60.65,2550.45,2620.23,890.58,1317.46,69.78,4613.09,184.03,NA
"Latvia",2015,458.73,33.72,550.48,21.36,55.08,2608.96,2677.16,975.3,1434.02,68.22,4923.1,206.33,30
"Latvia",2016,467.31,32.13,594.67,20.04,52.18,2670.74,2738.76,1049.27,1516.58,68.01,5146.86,244.67,28.2
"Latvia",2017,481.4,32.05,606.63,18.6,50.65,2734.59,2808.15,1098.84,1580.24,73.56,5287.16,241.49,28.5
"Latvia",2018,502.32,33.56,656.15,16.6,50.14,2896.05,2974.8,1279.37,1781.69,78.75,5724.93,262.15,28.4
"Latvia",2019,506.54,31.63,651.78,15.12,46.75,2933.65,3018.16,1414.15,1920.71,84.51,5891.67,254.27,26.7
"Latvia",2020,534.45,34.02,671.41,15,49.02,3109.71,3207.33,1564.33,2098.76,97.62,6445.51,419,25.1
"Latvia",2021,616.72,41.87,901.56,18.66,60.52,3293.55,3416.01,2049.06,2665.78,122.46,7503.25,459.38,26.1
"Latvia",2022,608.81,87.32,794.64,25.2,112.52,3229.19,3337.59,1951.33,2560.16,108.39,7043.04,238.15,26
"Latvia",2023,645.13,60.77,666.66,36.18,96.96,3380.07,3490.34,1667.58,2312.72,110.28,6795.18,228.5,25.6
"Lithuania",2014,482.71,141.38,366.5,11.16,152.55,2469.17,2629.77,1074.93,1557.64,160.61,4826.98,120.52,NA
"Lithuania",2015,495.46,110.47,387.5,14.2,124.67,2502.84,2662.72,1215.65,1711.1,159.88,5071.42,185.44,29.4
"Lithuania",2016,504.12,94.01,411.68,15.68,109.71,2469.68,2630.25,1310.1,1814.2,160.57,5168.53,202.69,30
"Lithuania",2017,529.7,88.06,458.47,18.02,106.09,2561.88,2720.44,1372.86,1902.57,158.56,5404.08,216.52,29.8
"Lithuania",2018,572.97,103.17,652.92,19.46,122.62,2796.71,2958.24,1503.59,2076.57,161.54,6110.46,300.11,28.5
"Lithuania",2019,602.37,103.59,760.17,22.1,125.68,2988.52,3154.87,1625.41,2227.78,166.35,6604.16,335.65,25.5
"Lithuania",2020,588.02,109.41,934.62,21.58,130.98,3237.75,3411.76,1894.7,2482.73,174.02,7788.37,828.29,24.5
"Lithuania",2021,632.18,127.39,922.63,22.84,150.23,3166.98,3350.09,1916.98,2549.17,183.09,7854.1,882,23.5
"Lithuania",2022,591.63,148.28,875.34,24.16,172.44,3091.45,3254.58,1835.34,2426.95,163.12,7094.54,365.24,24.6
"Lithuania",2023,557.5,170.8,883.57,30.68,201.48,3131.87,3297.13,1838.43,2395.93,165.27,7181.28,403.17,24.3
"Luxembourg",2014,6491.97,1303.35,8460.73,150.76,1454.11,17766.63,22638.37,11264.43,17756.4,4871.75,52603.99,2294.4,NA
"Luxembourg",2015,6319.58,1229.25,8321.57,144.18,1373.43,18288.19,22961.72,10960.2,17279.8,4673.53,52074.82,2138.31,18.4
"Luxembourg",2016,6138.34,1336.4,8058.98,141.92,1478.32,18567.2,23132.32,10769.8,16908.13,4565.12,51564.58,1986.82,19.1
"Luxembourg",2017,6167.25,1344.7,8121.56,139.56,1484.27,19076.9,23599.88,11031.84,17199.08,4522.98,52324.21,1919.42,19.3
"Luxembourg",2018,6029.32,1346.15,8370.68,148.4,1494.55,19511.05,23954.68,11456.76,17486.09,4443.63,53116.2,1810.22,20.1
"Luxembourg",2019,6042.16,1330.97,8456.32,151.94,1482.91,20063.75,24460.84,11749.26,17791.42,4397.1,53847.64,1656.14,20.1
"Luxembourg",2020,6259.4,1526.8,9598.26,157.36,1684.16,21164.59,25610.96,12906.99,19166.36,4446.39,60502.74,4442.98,19.9
"Luxembourg",2021,6291.86,1388.47,8773.48,155.74,1544.22,22138.99,26585.7,13233.88,19525.72,4446.7,59085.34,2656.22,21.1
"Luxembourg",2022,6157.08,1558.33,8719.3,168.56,1726.88,22234.06,26532.79,14051.43,20208.53,4298.75,59107.47,1919.98,19.4
"Luxembourg",2023,6114.63,1691.08,8695.39,186.22,1877.3,23447.63,27772.67,13355.48,19470.11,4325.05,59770.67,1955.19,21.4
"Malta",2014,375.81,145.28,686.06,50.46,195.74,4566.56,5489.65,2636.53,3012.35,923.11,9675.92,292.15,NA
